n_classes,injected_noise_rate,true_noise_rate_mean,true_noise_rate_std,estimated_noise_rate_mean,estimated_noise_rate_std,issue_precision_mean,issue_recall_mean,oof_auroc_vs_clean_mean,class_sep
4,0.05,0.0517333333333333,0.0019629909152447,0.0553333333333333,0.0013316656236958,0.8682507186419793,0.928697604059923,0.9977010133333332,2.0
4,0.1,0.1034,0.001,0.1050666666666666,0.0021197484127446,0.9216379784864352,0.9362037691277534,0.9974640177777776,2.0
4,0.15,0.1542,0.0024979991993593,0.1537333333333333,0.0042723919920032,0.9473356922243792,0.9443014169349272,0.9972201244444444,2.0
4,0.2,0.2061333333333333,0.0031005375877955,0.2039333333333333,0.0048013886880082,0.9540642029488428,0.9437380962293228,0.9967920355555556,2.0
4,0.25,0.255,0.0039949968710876,0.2486,0.0075498344352707,0.9678266426646358,0.9432843607157227,0.9965354133333334,2.0
4,0.3,0.3047333333333333,0.0010263202878893,0.2936666666666667,0.0056047598818623,0.970403316779708,0.935018508950491,0.9959481066666666,2.0
4,0.35,0.3553333333333333,0.0033306655991458,0.3388,0.0049030602688525,0.9790157840616333,0.9334330666746672,0.9955356977777776,2.0
4,0.4,0.4037333333333333,0.0032145502536643,0.3802,0.0070738956735309,0.9792224206935568,0.9221185999974458,0.99432352,2.0
4,0.45,0.4546666666666666,0.0088189190569668,0.4210666666666666,0.0021007935008785,0.9851070823632908,0.9124486263087194,0.9943771733333334,2.0
4,0.5,0.5024000000000001,0.0098974744253268,0.4572666666666666,0.0020033305601755,0.9865799719256289,0.8982131339143833,0.9922888533333336,2.0
